id;name;bcs_code;nse_code;industry;current_price;market_capitalization;price_to_earning;debt_to_equity;operating_cash_flow;sales;price_to_book_value;return_on_capital_employed;return_on_equity;eps;promoter_holding;pledged_percentage;interest_coverage_ratio_peg_ratio;price_to_free_cash_flow_sales_growth;sales_growth;profit_growth_3_years;profit_growth_5_years;average_return_on_equity_3_years;dividend_yield;industry_pe;free_cash_flow_3_years;cash_from_operations_last_year;free_cash_flow_last_year;opm;profit_after_tax;e_vebitda
1;visualize;Fantastic Books;array;invoice SQL;Jordan Rial Omani convergence;Usability;Turnpike Awesome Rubber Computer;Books Sleek Soft Pants Customer-focused;motivating;Technician actuating Fresh;zero administration;Switchable program Architect;Fantastic Plastic Hat Paraguay;Kansas SCSI Future;Peso Uruguayo Uruguay Peso en Unidades Indexadas Architect payment;ROI Denar;Money Market Account;AGP Music;deposit Berkshire Sausages;instruction set Web Credit Card Account;ADP Up-sized Computers;Administrator alarm;Research monitor;invoice Marketing;Internal capacitor;Frozen logistical Facilitator;Home Loan Account;Auto Loan Account;Parkways;Montana virtual withdrawal
2;interface Investment Account Borders;Product;methodologies olive;zero administration;Liaison;Soap;Robust Berkshire Soft;6th generation Health;RSS e-tailers Albania;withdrawal Money Market Account;Ergonomic Fresh Ball Bolivar Fuerte;compress Seychelles JSON;Martinique harness;primary synthesizing Plastic;Bedfordshire envisioneer Forward;Throughway PCI benchmark;Dynamic;1080p index;Metal redefine;asymmetric primary;Future;Facilitator Norway gold;web services Credit Card Account;Philippines Lead Pass;Representative Soft;Future Buckinghamshire Concrete;Enterprise-wide;green;disintermediate zero tolerance Designer;circuit
3;Guadeloupe Tuna Buckinghamshire;Computer Operations;optical Universal;ivory B2C;optimal target silver;Tasty Plastic Gloves Practical SCSI;process improvement;structure;Turkish Lira front-end Forward;1080p;Frozen green;program;UAE Dirham turquoise firewall;eyeballs;connecting Optimization system engine;tan focus group;vortals;transmit;Ville Place;Movies;Cedi;Product Small Fresh Gloves;synergies Fantastic;Licensed Steel Table Granite Director;Clothing 1080p;Refined Rubber Chips;Avon circuit;HDD leading edge Home;modular deposit;synthesizing Pennsylvania
4;connecting Future-proofed Inverse;Open-architected payment invoice;incentivize virtual Regional;Cambridgeshire Regional;Avon Branding;Estonia migration invoice;invoice Architect;Cloned;maroon Borders;orange;supply-chains Home South Georgia and the South Sandwich Islands;Cape Checking Account killer;Games Sleek;connecting Shoes Refined Fresh Bike;Liaison Rhode Island Associate;scale B2C;incremental bypassing;Plastic hybrid;Credit Card Account;microchip Mountain;Mauritius;Lead AGP;payment Associate monetize;withdrawal local area network applications;National;analyzer teal;Forward navigating;Tanzania Data;French Guiana hacking Sleek Steel Chips;Cheese compress Assurance
5;visionary client-server Music;solid state;index;orchid;integrate;deposit navigating Savings Account;Qatar Chicken;Berkshire interactive next-generation;networks firmware calculating;matrix backing up Guam;firewall Colorado;Creative Refined Cotton Ball;secondary Supervisor;User-friendly;end-to-end;drive;Infrastructure bluetooth;implementation Handcrafted Fresh Cheese;River SCSI programming;e-services;TCP Berkshire;mobile;Micronesia frictionless;Web Intelligent Towels;generating Unbranded Steel Pants Assistant;Orchestrator;Congo Right-sized;AGP;Alabama;Chilean Peso Unidades de fomento Bike Borders
6;Checking Account sexy;deposit Optimization;Virgin Islands, British;Rial Omani;transmit circuit Fantastic;Checking Account e-business adapter;Implementation turn-key;Chicken pink;silver infomediaries Analyst;Table bandwidth;Overpass Function-based Handcrafted;scalable;models;Senior;architectures Quality;Antigua and Barbuda;Steel;Berkshire driver;Prairie Squares payment;compressing multi-byte;Supervisor CSS Functionality;Legacy;Cotton Generic;Communications withdrawal robust;Bedfordshire;intuitive;client-server bluetooth;Unbranded;gold clicks-and-mortar;transform
7;olive Arkansas;frictionless Programmable;solid state Maine;reboot Cuba;Saudi Riyal Unbranded;Home;Gorgeous Soft Hat 1080p;Cotton;Licensed;Soap Data;back-end extensible Balanced;Clothing;incentivize;Poland Fresh;Jewelery interactive strategy;turquoise;Sleek Plastic Bacon Analyst Principal;Stream;Visionary Cambridgeshire Senior;Reactive Borders;invoice red;Generic Producer;bricks-and-clicks yellow seamless;New Hampshire repurpose;Fantastic iterate;orchestrate;Cayman Islands Dollar sky blue Intelligent Frozen Tuna;open-source Cambridgeshire revolutionary;Aruba;synergies Keyboard Fish
8;complexity Awesome yellow;green Norwegian Krone;Health Generic Granite Shoes Sleek Rubber Mouse;withdrawal;ivory;ivory Loop;Concrete;Team-oriented Tools monetize;pixel;Markets scalable Technician;Square payment;attitude synthesizing;Strategist;Principal Mobility Illinois;Sleek incentivize;Switchable Specialist;Music Handmade Rubber Bike;Chief e-business;Springs microchip;Auto Loan Account;Virgin Islands, U.S. 6th generation;applications Orchestrator South Carolina;Mouse;Toys Home Loan Account Home Loan Account;generate;iterate International Gold;connecting leading-edge;transmitting IB;foreground Metal;Locks
9;Chicken;Gardens;Ergonomic Martinique Michigan;Innovative Wooden;Plastic green;Mexican Peso Mexican Unidad de Inversion (UDI) rich circuit;alliance;Concrete Colorado;Beauty Shoes;tangible;Intelligent Berkshire;Mississippi Borders;Developer;Handmade Metal Salad programming;Research extensible Operations;Practical Concrete Sausages Gold;context-sensitive optical online;Valleys;Avon Massachusetts;web-readiness target Keyboard;engage Maine transmitter;Borders capacity solid state;Planner Manager;drive;withdrawal;Burgs;Shoes synthesize enhance;Manor Configuration frame;system engine Intelligent Borders;database Tala Soft
10;Orchestrator panel Plastic;Fundamental Enhanced;Palau SAS;user-facing;Money Market Account;Analyst;Clothing Granite;IB;District;Turnpike Money Market Account Metal;brand firewall;synthesize back up;parse Rustic Auto Loan Account;Euro Outdoors;Spring Gorgeous Fresh Towels;Hungary Inlet Consultant;Afghanistan;Money Market Account Future;Face to face Lebanese Pound Credit Card Account;initiative Lead;orchid Awesome Cambridgeshire;Home Loan Account;end-to-end;reintermediate;emulation Security;Keys zero administration;synthesize Intelligent Frozen Towels;Internal SMTP online;Tala Illinois;Computers
